draw_date,draw_no,n1,n2,n3,n4,n5,source
2007-12-25,96000257.0,2,4,13,22,28,pilio
2007-12-26,96000258.0,1,11,18,20,33,pilio
2007-12-27,96000259.0,1,3,4,19,26,pilio
2007-12-28,96000260.0,1,2,14,22,30,pilio
2007-12-31,96000261.0,11,12,20,25,37,pilio
2008-01-01,97000001.0,11,26,31,35,37,pilio
2008-01-02,97000002.0,2,9,10,24,30,pilio
2008-01-03,97000003.0,18,28,32,33,38,pilio
2008-01-04,97000004.0,7,17,20,28,36,pilio
2008-01-07,97000005.0,2,11,18,19,21,pilio
2008-01-08,97000006.0,1,12,19,20,35,pilio
2008-01-09,97000007.0,4,9,16,19,29,pilio
2008-01-10,97000008.0,1,8,11,22,39,pilio
2008-01-11,97000009.0,4,8,27,30,32,pilio
2008-01-14,97000010.0,4,19,34,35,38,pilio
2008-01-15,97000011.0,5,11,16,21,26,pilio
2008-01-16,97000012.0,9,10,11,23,30,pilio
2008-01-17,97000013.0,2,20,35,37,38,pilio
2008-01-18,97000014.0,5,15,31,32,36,pilio
2008-01-21,97000015.0,1,11,23,26,29,pilio
2008-01-22,97000016.0,1,4,7,17,23,pilio
2008-01-23,97000017.0,1,3,4,11,28,pilio
2008-01-24,97000018.0,1,8,12,26,37,pilio
2008-01-25,97000019.0,2,8,15,17,20,pilio
2008-01-28,97000020.0,2,13,28,32,36,pilio
2008-01-29,97000021.0,1,4,9,10,29,pilio
2008-01-30,97000022.0,1,16,17,28,37,pilio
2008-01-31,97000023.0,1,2,17,24,35,pilio
2008-02-01,97000024.0,3,10,23,34,37,pilio
2008-02-04,97000025.0,3,12,23,26,34,pilio
2008-02-05,97000026.0,1,4,10,18,31,pilio
2008-02-06,97000027.0,4,17,18,29,33,pilio
2008-02-07,97000028.0,6,30,32,33,34,pilio
2008-02-08,97000029.0,3,10,11,34,38,pilio
2008-02-11,97000030.0,13,18,25,37,38,pilio
2008-02-12,97000031.0,1,10,12,28,38,pilio
2008-02-13,97000032.0,14,28,34,36,37,pilio
2008-02-14,97000033.0,3,4,10,36,39,pilio
2008-02-15,97000034.0,1,24,26,27,39,pilio
2008-02-18,97000035.0,5,14,17,18,21,pilio
2008-02-19,97000036.0,11,16,24,30,35,pilio
2008-02-20,97000037.0,11,20,27,30,33,pilio
2008-02-21,97000038.0,6,10,22,31,37,pilio
2008-02-22,97000039.0,9,22,23,26,32,pilio
2008-02-25,97000040.0,1,4,18,23,31,pilio
2008-02-26,97000041.0,28,30,32,36,37,pilio
2008-02-27,97000042.0,1,6,33,34,35,pilio
2008-02-28,97000043.0,1,3,9,20,22,pilio
2008-02-29,97000044.0,8,25,27,34,38,pilio
2008-03-03,97000045.0,4,5,10,13,22,pilio
2008-03-04,97000046.0,5,11,12,19,21,pilio
2008-03-05,97000047.0,2,10,13,14,15,pilio
2008-03-06,97000048.0,3,9,15,17,21,pilio
2008-03-07,97000049.0,6,7,15,36,39,pilio
2008-03-10,97000050.0,13,16,17,29,31,pilio
2008-03-11,97000051.0,4,10,16,17,22,pilio
2008-03-12,97000052.0,9,24,27,36,37,pilio
2008-03-13,97000053.0,1,11,19,21,33,pilio
2008-03-14,97000054.0,2,6,16,26,28,pilio
2008-03-17,97000055.0,2,11,16,20,37,pilio
2008-03-18,97000056.0,10,16,20,31,32,pilio
2008-03-19,97000057.0,1,14,19,21,33,pilio
2008-03-20,97000058.0,3,6,20,22,29,pilio
2008-03-21,97000059.0,4,10,19,20,30,pilio
2008-03-24,97000060.0,2,5,26,29,30,pilio
2008-03-25,97000061.0,1,3,8,30,36,pilio
2008-03-26,97000062.0,9,12,13,15,31,pilio
2008-03-27,97000063.0,14,20,26,29,37,pilio
2008-03-28,97000064.0,7,14,31,35,39,pilio
2008-03-31,97000065.0,9,16,30,32,38,pilio
2008-04-01,97000066.0,6,12,16,18,35,pilio
2008-04-02,97000067.0,4,10,14,24,26,pilio
2008-04-03,97000068.0,2,18,21,24,36,pilio
2008-04-04,97000069.0,10,17,21,32,35,pilio
2008-04-07,97000070.0,6,7,16,22,24,pilio
2008-04-08,97000071.0,7,10,15,37,38,pilio
2008-04-09,97000072.0,9,13,15,21,28,pilio
2008-04-10,97000073.0,5,8,9,17,24,pilio
2008-04-11,97000074.0,5,16,30,34,37,pilio
2008-04-14,97000075.0,2,10,17,18,21,pilio
2008-04-15,97000076.0,6,18,25,26,31,pilio
2008-04-16,97000077.0,7,18,20,22,33,pilio
2008-04-17,97000078.0,5,19,22,28,29,pilio
2008-04-18,97000079.0,11,12,20,32,35,pilio
2008-04-21,97000080.0,8,15,22,24,33,pilio
2008-04-22,97000081.0,3,10,12,19,24,pilio
2008-04-23,97000082.0,4,5,7,9,21,pilio
2008-04-24,97000083.0,3,14,25,33,38,pilio
2008-04-25,97000084.0,4,7,11,19,24,pilio
2008-04-28,97000085.0,2,15,17,19,21,pilio
2008-04-29,97000086.0,4,7,8,11,29,pilio
2008-04-30,97000087.0,10,25,27,30,39,pilio
2008-05-01,97000088.0,5,17,20,25,34,pilio
2008-05-02,97000089.0,1,13,15,16,30,pilio
2008-05-05,97000090.0,16,19,27,29,33,pilio
2008-05-06,97000091.0,8,16,17,33,38,pilio
2008-05-07,97000092.0,4,18,19,27,35,pilio
2008-05-08,97000093.0,23,27,33,35,39,pilio
2008-05-09,97000094.0,5,24,26,32,34,pilio
2008-05-12,97000095.0,5,9,18,31,35,pilio
2008-05-13,97000096.0,6,21,29,31,36,pilio
2008-05-14,97000097.0,4,28,31,36,37,pilio
2008-05-15,97000098.0,11,18,21,27,38,pilio
2008-05-16,97000099.0,13,18,20,21,23,pilio
2008-05-19,97000100.0,10,11,28,31,34,pilio
2008-05-20,97000101.0,4,18,24,28,38,pilio
2008-05-21,97000102.0,8,12,20,34,35,pilio
2008-05-22,97000103.0,11,21,25,31,38,pilio
2008-05-23,97000104.0,8,11,33,34,35,pilio
2008-05-26,97000105.0,2,3,17,23,30,pilio
2008-05-27,97000106.0,30,31,32,33,38,pilio
2008-05-28,97000107.0,1,3,30,31,39,pilio
2008-05-29,97000108.0,6,14,21,23,34,pilio
2008-05-30,97000109.0,16,23,25,30,33,pilio
2008-06-02,97000110.0,2,6,8,29,32,pilio
2008-06-03,97000111.0,6,9,19,33,35,pilio
2008-06-04,97000112.0,19,20,27,29,33,pilio
2008-06-05,97000113.0,4,17,23,27,29,pilio
2008-06-06,97000114.0,7,11,20,28,31,pilio
2008-06-09,97000115.0,7,16,20,27,35,pilio
2008-06-10,97000116.0,3,9,25,26,35,pilio
2008-06-11,97000117.0,7,11,14,19,20,pilio
2008-06-12,97000118.0,12,17,29,35,39,pilio
2008-06-13,97000119.0,1,4,9,33,38,pilio
2008-06-16,97000120.0,21,25,28,30,33,pilio
2008-06-17,97000121.0,1,4,10,16,37,pilio
2008-06-18,97000122.0,5,16,18,19,30,pilio
2008-06-19,97000123.0,4,6,11,18,29,pilio
2008-06-20,97000124.0,5,6,12,17,23,pilio
2008-06-23,97000125.0,14,17,18,24,29,pilio
2008-06-24,97000126.0,5,7,13,27,35,pilio
2008-06-25,97000127.0,6,7,18,28,34,pilio
